-3263537	-28943	-3263537	-8388609
-3485351	-28943	-3485351	-8388609
-3652418	-30784	-3652418	-8388609
-3762160	-31859	-3762160	-8388609
-3812675	-31963	-3812675	-8388609
-3802915	-30918	-3802915	-8388609
-3733000	-28808	-3733000	-8388609
-3733024	-26161	-3733024	-8388609
-3604256	-26161	-3604256	-8388609
-3418952	-24445	-3418952	-8388609
-3179885	-24868	-3179885	-8388609
-2890581	-26403	-2890581	-8388609
-2555535	-27909	-2555535	-8388609
-2555535	-27909	-2555535	-8388609
-2180498	-29342	-2180498	-8388609
-1771548	-30689	-1771548	-8388609
-1334882	-31119	-1334882	-8388609
-877288	-29956	-877288	-8388609
-406027	-27615	-406027	-8388609
-406027	-27615	-406027	-8388609
-16705742	-25319	-16705742	-8388609
-16229751	-24262	-16229751	-8388609
-15762846	-24469	-15762846	-8388609
-15311981	-25150	-15311981	-8388609
-14884400	-26672	-14884400	-8388609
-14884400	-26672	-14884400	-8388609
-14487575	-29553	-14487575	-8388609
-14127335	-32254	-14127335	-8388609
-13808193	-32503	-13808193	-8388609
-13534935	-30147	-13534935	-8388609
-13312881	-27220	-13312881	-8388609
-13312881	-27220	-13312881	-8388609
-13146468	-25451	-13146468	-8388609
-13038007	-25041	-13038007	-8388609
-12988271	-25431	-12988271	-8388609
-12997633	-26392	-12997633	-8388609
-13066818	-28101	-13066818	-8388609
-13066818	-28101	-13066818	-8388609
-13195520	-30357	-13195520	-8388609
-13381325	-31658	-13381325	-8388609
-13620477	-30899	-13620477	-8388609
-13908778	-28317	-13908778	-8388609
-14242086	-25192	-14242086	-8388609
-14242086	-25192	-14242086	-8388609
-14615713	-23211	-14615713	-8388609
-15023840	-23062	-15023840	-8388609
-16387105	-27372	-16387105	-8388609
-87281	-28956	-87281	-8388609
-72225	-30412	-72225	-8388609
-563745	-30412	-563745	-8388609
-1031428	-31217	-1031428	-8388609
-2671402	-24740	-2671402	-8388609
-2991624	-24740	-2991624	-8388609
-3264785	-27199	-3264785	-8388609
-3486466	-30095	-3486466	-8388609
-3653295	-31798	-3653295	-8388609
-3762660	-32219	-3762660	-8388609
-3802493	-30001	-3802493	-8388609
-3603092	-25710	-3603092	-8388609
-3417337	-24957	-3417337	-8388609
-3178087	-25824	-3178087	-8388609
-2888929	-27476	-2888929	-8388609
-2554095	-29175	-2554095	-8388609
-1769586	-30503	-1769586	-8388609
-1332441	-29575	-1332441	-8388609
-403465	-26729	-403465	-8388609
-16227483	-25741	-16227483	-8388609
-15760372	-25873	-15760372	-8388609
-15309885	-26736	-15309885	-8388609
-15309885	-26707	-15309885	-8388609
-14883054	-28755	-14883054	-8388609
-14125768	-31664	-14125768	-8388609
-13533104	-28710	-13533104	-8388609
-13311532	-26347	-13311532	-8388609
-13145687	-24839	-13145687	-8388609
-13037659	-24700	-13037659	-8388609
-12988405	-25542	-12988405	-8388609
-12998789	-27125	-12998789	-8388609
-13068843	-29328	-13068843	-8388609
-13197374	-31281	-13197374	-8388609
-13382435	-31918	-13382435	-8388609
-13621559	-31310	-13621559	-8388609
-13910719	-30115	-13910719	-8388609
-13910719	-30115	-13910719	-8388609
-14244854	-28308	-14244854	-8388609
-14618431	-25887	-14618431	-8388609
-15025980	-24223	-15025980	-8388609
-15461558	-24842	-15461558	-8388609
-15461558	-27282	-15461558	-8388609
-15918579	-27282	-15918579	-8388609
-16389769	-29277	-16389769	-8388609
-90216	-29836	-90216	-8388609
-1912950	-27637	-1912950	-8388609
-2311457	-26080	-2311457	-8388609
-2311457	-26080	-2311457	-8388609
-2673662	-25137	-2673662	-8388609
-2993569	-28006	-2993569	-8388609
-3490223	-31208	-3490223	-8388609
-3763010	-31419	-3763010	-8388609
-3802453	-30598	-3802453	-8388609
-3802453	-30598	-3802453	-8388609
-3732127	-28140	-3732127	-8388609
-2886958	-26080	-2886958	-8388609
-2176482	-29872	-2176482	-8388609
-1767208	-31857	-1767208	-8388609
-1330357	-31866	-1330357	-8388609
-401383	-27676	-401383	-8388609
-16700769	-26062	-16700769	-8388609
-16224567	-25462	-16224567	-8388609
-15307639	-26856	-15307639	-8388609
-14483255	-29664	-14483255	-8388609
-14122671	-30224	-14122671	-8388609
-13804192	-29466	-13804192	-8388609
-13532461	-28033	-13532461	-8388609
-13311630	-26154	-13311630	-8388609
-13311630	-26154	-13311630	-8388609
-12987407	-25621	-12987407	-8388609
-13196868	-28502	-13196868	-8388609
-13623685	-30442	-13623685	-8388609
-13913292	-29727	-13913292	-8388609
-14247227	-28219	-14247227	-8388609
-14247227	-28219	-14247227	-8388609
-14620621	-26129	-14620621	-8388609
-15028388	-24416	-15028388	-8388609
-15464462	-24480	-15464462	-8388609
-15921603	-26608	-15921603	-8388609
-16392452	-28986	-16392452	-8388609
-16392452	-28986	-16392452	-8388609
-568720	-28470	-568720	-8388609
-2995383	-26332	-2995383	-8388609
-3268416	-27998	-3268416	-8388609
-3489566	-29568	-3489566	-8388609
-3655226	-31094	-3655226	-8388609
-3763309	-31884	-3763309	-8388609
-3812513	-31406	-3812513	-8388609
-3801875	-30047	-3801875	-8388609
-3601702	-27288	-3601702	-8388609
-3415318	-25740	-3415318	-8388609
-3175223	-24905	-3175223	-8388609
-2885230	-26270	-2885230	-8388609
-2549901	-29207	-2549901	-8388609
-2174477	-31663	-2174477	-8388609
-1327549	-31518	-1327549	-8388609
-869679	-29374	-869679	-8388609
-16698202	-25732	-16698202	-8388609
-15755486	-24017	-15755486	-8388609
-15304928	-24544	-15304928	-8388609
-14482157	-29651	-14482157	-8388609
